model,ndcg@10_mean,ndcg@10_std,risk_fit@10_mean,risk_fit@10_std,rec_pop@10_mean,rec_pop@10_std,ndcg@20_mean,ndcg@20_std,risk_fit@20_mean,risk_fit@20_std,rec_pop@20_mean,rec_pop@20_std,gini_index_mean,gini_index_std,catalog_coverage_mean,catalog_coverage_std
BPR_MF,0.2651495786069223,0.08385797331838414,0.8880017011852489,0.0032884394055765894,6.154629280034945,0.39555241124486135,0.3082420780821736,0.090695145376586,0.887708529399956,0.003512718124663822,5.784247701153856,0.3864454163200845,0.9593868576958151,0.008212724676571501,0.5398263027295286,0.1193478556820414
ContentBased,0.03644236992009847,0.00873823810058116,0.9223424949642642,0.009285556963129538,2.120345831866887,0.2003505147412856,0.048061405849038064,0.008228129226640443,0.9273871660297155,0.007569761839028341,1.805498829358186,0.15306603854263007,0.7874557966471122,0.018168655863162544,0.8721091811414392,0.030889837579075076
MF_SVD_50,0.02960173879402856,0.005096910129291953,0.8827742599160244,0.004071379668119605,3.8102543710117067,0.2330239729977065,0.03706938405987318,0.006009819936821969,0.8828802146307665,0.003969681672826384,3.6994134768146143,0.24108395810532948,0.8829727383320946,0.002636283694023321,0.24339950372208438,0.003025497425158041
NCF,0.2389465291289461,0.09220103668308367,0.8871266270489874,0.0034041231589077665,6.222584704839525,0.24706303139972793,0.2792479958927472,0.10020807060990741,0.8866540730071176,0.0035397841357192594,5.791669125695346,0.26644090283668254,0.9597832706191062,0.002822158787584464,0.1442183622828784,0.01791208475519268
Popularity,0.28295534077047213,0.09924435466597295,0.8881144214027159,0.0032748161258809552,6.430204167783033,0.27042988851318844,0.32417618350271715,0.10608934654736434,0.8880124498188158,0.0035596769732926126,5.9762353410684765,0.2913442061412701,0.9711394343964678,0.0007202569629653245,0.08424317617866006,0.0063076780039965415
