model,variant_id,ndcg@10,risk_fit@10,rec_pop@10,ndcg@20,risk_fit@20,rec_pop@20,gini_index,catalog_coverage
Popularity,0,0.21147538324765927,0.8783603510509957,5.6477230322462875,0.239105999862974,0.8775046763284838,5.224970246304705,0.9711393527522558,0.07196029776674938
Popularity,1,0.21946073161131563,0.8815486020380345,5.7481484678096395,0.253780411944393,0.8816343689067873,5.319419575964007,0.9713651022257115,0.07320099255583126
Popularity,2,0.2433194110256749,0.8820491041606595,5.876762004231138,0.2783122492159293,0.8834317452168354,5.437609085768615,0.9716572881863712,0.07196029776674938
Popularity,3,0.292295926395133,0.8880046567260829,6.016594968633907,0.3311882149994039,0.8888689195080498,5.557217162244733,0.9718996247110328,0.07320099255583126
Popularity,4,0.3304467747439018,0.8900969700072517,6.10225278174059,0.3731463213051499,0.8908963375284815,5.630341780939199,0.9721093873291318,0.07444168734491315
Popularity,5,0.3531373720440652,0.8898253020383566,6.147225691436452,0.3947343679582245,0.8908315846093221,5.682996868170822,0.9721882749675357,0.07692307692307693
Popularity,6,0.3718388610334306,0.8900931262413864,6.158316280752477,0.41420494503859917,0.8912890597076996,5.68809378966751,0.9721552693579727,0.07816377171215881
Popularity,7,0.3735028850047281,0.8911039174959066,6.170988862218061,0.4180408219967257,0.8919569509152543,5.706815316868945,0.9722227775049648,0.0794044665012407
Popularity,8,0.4020492759042541,0.8931825709830314,6.174091781041679,0.4489277376322175,0.8938926069052521,5.6654895965792464,0.972360120861463,0.07568238213399504
Popularity,9,0.4075335144716524,0.8932742660327296,6.194607586696592,0.45459622219743945,0.8939867718617648,5.688389652500468,0.9724154515292609,0.07568238213399504
Popularity,10,0.4099659388627879,0.8928688815847065,6.204599994045844,0.4584461008768344,0.8937850521228479,5.694470443423882,0.9724404152270163,0.07692307692307693
Popularity,11,0.4119043025539363,0.8930618451286845,6.2041537253487595,0.46131169974568464,0.8940561356542857,5.694420032286543,0.9724023167893598,0.07692307692307693
Popularity,12,0.40976156596583657,0.8928940385131114,6.239925298851316,0.46127854431806153,0.8935067548844441,5.738261194586062,0.9723418131065562,0.07692307692307693
Popularity,13,0.41688531942833645,0.8926557173258188,6.261356794342531,0.46974530477467336,0.8928178639588821,5.765402153783946,0.9722412925354567,0.07692307692307693
Popularity,14,0.4244260683567555,0.8902503988065549,6.281491246890588,0.47504343013445355,0.8902786553870204,5.791281393600475,0.9721287624976023,0.07816377171215881
Popularity,15,0.4349953987886095,0.8932061643310847,6.288911339759167,0.4869377739669307,0.8930046771709494,5.801847150184231,0.9719472690742852,0.08064516129032258
Popularity,16,0.43123540423787704,0.892373121241,6.307365185390261,0.4821750651877266,0.8916456370550627,5.812445309049281,0.9717187382509962,0.08064516129032258
Popularity,17,0.4286177025991944,0.8887403817506512,6.314772518043787,0.4802283102592307,0.8881481142412414,5.82297434183112,0.971384407336652,0.08188585607940446
Popularity,18,0.32877094724367256,0.8845195492534744,6.371489514251184,0.3745435492990724,0.8842901707860941,5.887234782537098,0.9711439402256297,0.08312655086848635
Popularity,19,0.3076143732742486,0.8836685296973978,6.395551693697652,0.3567509573754973,0.8832219360464624,5.905370788138196,0.97106112016187,0.08436724565756824
Popularity,20,0.29895881644687405,0.8854991626842251,6.43282606255657,0.3422932202972745,0.8851195370359375,5.946390105302461,0.9710303161074549,0.08684863523573201
Popularity,21,0.2941345442790136,0.8859271012262169,6.4338967810344885,0.3368832541328722,0.8854309653616225,5.955288221421985,0.97089400619112,0.08684863523573201
